address,current_zone,current_potential_units,distance_to_station_ft,ballot_zone,ballot_potential_units,additional_units
6970 N BUCKLEY RD,DIA,16700.0,2222.078598552309,DIA,16700,0.0
17200 E 64TH AVE,DIA,2233.0,1088.4687250620846,G-RX-5x,3349,1116.0
6357 N TELLURIDE WAY SPC 5,DIA,1187.0,867.1762760955505,G-RX-5x,1780,593.0
6237 N YAMPA ST,S-CC-5,218.0,2441.0359314641278,S-CC-5,218,0.0
17450 E 60TH PL,C-MX-8,631.0,721.8677935479849,C-MX-8,631,0.0
17455 E 60TH PL,C-MX-8,619.0,703.713601272506,C-MX-8,619,0.0
6383 N TELLURIDE WAY,S-MX-12A,3033.0,1511.1305947885148,S-MX-12A,3033,0.0
8500 PENA BLVD,DIA,3454.0,2564.5239694477914,DIA,3454,0.0
8500 PENA BLVD,DIA,1769.0,1454.7158242175447,DIA,1769,0.0
8500 PENA BLVD,DIA,3414.0,2370.493455963978,DIA,3414,0.0
8500 PENA BLVD,DIA,1703.0,1075.89150644341,G-RX-5x,2555,852.0
4360 N SALIDA WAY,C-MX-8,370.0,2554.4435450077976,C-MX-8,370,0.0
4360 N RIFLE ST,C-MX-8,683.0,2245.7110920808523,C-MX-8,683,0.0
4260 N RIFLE ST,C-MX-8,847.0,1702.6074835027594,C-MX-8,847,0.0
4002 N SALIDA WAY,C-MX-8,558.0,1601.5025924410636,C-MX-8,558,0.0
4001 N SALIDA WAY,C-MX-8,1290.0,1101.1249351029098,C-MX-8,1290,0.0
4249 N RIFLE ST,C-MX-8,1477.0,1381.545791917759,C-MX-8,1477,0.0
4459 N RIFLE ST,C-MX-8,1803.0,2370.5163473634993,C-MX-8,1803,0.0
4050 N COLORADO BLVD,C-MX-8,959.0,723.7817424186164,C-MX-8,959,0.0
4050 N COLORADO BLVD,C-MX-8,309.0,766.5542464059987,C-MX-8,309,0.0
4050 N COLORADO BLVD,C-MX-8,269.0,1095.900245676818,C-MX-8,269,0.0
3750 N QUENTIN ST,I-B,95.0,1658.9490462239607,I-B,95,0.0
3850 N QUENTIN ST,I-B,70.0,1835.1533351004718,I-B,70,0.0
3750 N XANTHIA ST,C-MU-30,1054.0,1402.9991238576472,C-MU-30,1054,0.0
3801 N ULSTER ST,C-MX-16,3099.0,768.0198644811883,C-MX-16,3099,0.0
7993 E 36TH AVE,C-MX-16,3401.0,988.1294041354174,C-MX-16,3401,0.0
3896 N ULSTER ST,C-MX-16,2041.0,272.12187999311277,C-MX-16,2041,0.0
3894 N UINTA ST,C-MX-16,3356.0,120.0759029441045,C-MX-16,3356,0.0
3658 N ULSTER ST,C-MX-16,2073.0,650.3764663643511,C-MX-16,2073,0.0
8101 E 36TH AVE,C-MX-16,399.0,1078.5411824215937,C-MX-16,399,0.0
5055 W RIVER DR,I-B,104.0,1381.7842249750308,I-B,104,0.0
4800 PACKING HOUSE RD,CMP-NWC,54.0,1174.337078600999,G-RX-5x,82,28.0
4812 N WASHINGTON ST,I-B,94.0,2535.0020972627876,I-B,94,0.0
4900 N RACE ST,I-B,134.0,1445.5708323254312,I-B,134,0.0
5050 N RACE ST,I-B,742.0,1376.0228940319314,I-B,742,0.0
4301 N INCA ST,I-A,86.0,849.7882816923652,G-RX-5x,129,43.0
753 W 45TH AVE,C-MX-12,328.0,2063.4804867837233,C-MX-12,328,0.0
4506 N HURON ST,C-MX-12,1104.0,2139.4022605434084,C-MX-12,1104,0.0
4496 N HURON ST,C-MX-12,487.0,1700.5480688206715,C-MX-12,487,0.0
4497 N FOX WAY,C-MX-12,277.0,1703.5483350691711,C-MX-12,277,0.0
4407 N FOX WAY,C-MX-12,415.0,1205.020973455668,C-MX-12,415,0.0
4406 N HURON ST,C-MX-12,869.0,1156.313096261077,C-MX-12,869,0.0
686 W 45TH AV,C-MX-12,315.0,1699.7054135449798,C-MX-12,315,0.0
4307 N FOX ST,C-MX-12,626.0,790.1723790435874,C-MX-12,626,0.0
4306 N HURON ST,C-MX-12,518.0,747.9605870042776,C-MX-12,518,0.0
4500 ELATI WAY,C-MX-12,737.0,2061.5894410162314,C-MX-12,737,0.0
4469 N FOX ST,C-RX-8,163.0,1527.44255601768,C-RX-8,163,0.0
4479 N FOX ST,C-RX-8,143.0,1817.4790508802594,C-RX-8,143,0.0
4509 N ELATI WAY,C-RX-12,260.0,2052.8931164803334,C-RX-12,260,0.0
4549 N ELATI WAY,C-RX-12,258.0,2311.13896081886,C-RX-12,258,0.0
4300 N HURON ST MS,I-B,34.0,222.44422440852196,C-MX-8x,137,103.0
4300 N CHEROKEE ST,I-A,33.0,1734.2044622944866,I-A,33,0.0
4101 N FOX ST,I-A,35.0,401.0071151542079,C-MX-8x,142,107.0
4045 N FOX ST,I-B,62.0,63.249843829434894,C-MX-8x,247,185.0
3901 N ELATI ST,C-MX-20,396.0,1126.6189786726188,C-MX-20,396,0.0
3965 N FOX ST,C-MS-12,281.0,805.9865683022532,C-MS-12,281,0.0
4114 N BRIGHTON BLVD,I-MX-8,369.0,1974.09642390031,I-MX-8,369,0.0
3845 BLAKE ST,I-MX-12,428.0,530.0880376180268,I-MX-12,428,0.0
3825 BLAKE ST,I-MX-12,175.0,343.4489107581814,I-MX-12,175,0.0
3800 BLAKE ST,I-MX-12,266.0,412.4349156950518,I-MX-12,266,0.0
3875 WALNUT ST,I-MX-12,304.0,582.1434515114657,I-MX-12,304,0.0
3601 E 38TH AVE,I-MX-3,125.0,2220.9286242594735,I-MX-3,125,0.0
4200 N MONROE ST,I-A,59.0,556.9805072599312,C-MX-8x,234,175.0
4201 N MONROE ST,I-A,49.0,723.2983573681555,G-RX-5x,73,24.0
4121 N MONROE ST,I-A,62.0,841.6631363644588,G-RX-5x,94,32.0
4141 N COLORADO BLVD,I-A,75.0,461.0457649452129,C-MX-8x,299,224.0
4070 N JACKSON ST,I-A,35.0,818.3392715882583,G-RX-5x,53,18.0
3600 E 41ST AVE,C-MX-5,124.0,982.4187136016204,C-MX-5,124,0.0
4001 N MONROE ST,I-A,44.0,1117.3098814333487,G-RX-5x,66,22.0
3900 N MADISON ST,I-MX-3,60.0,1467.1705720450248,I-MX-3,60,0.0
3500 E 40TH AVE,I-MX-3,52.0,1462.9219774408402,I-MX-3,52,0.0
3648 N DOWNING ST,C-MX-5,283.0,892.6101664713702,C-MX-5,283,0.0
3300 ARKINS CT,C-MX-8,228.0,2092.6421225540766,C-MX-8,228,0.0
3650 CHESTNUT PL,I-MX-8,142.0,1480.6272874071697,I-MX-8,142,0.0
3585 BLAKE ST,C-MX-12,262.0,575.5952979699625,C-MX-12,262,0.0
3333 N BRIGHTON BLVD,C-MX-8,302.0,1926.9738009967318,C-MX-8,302,0.0
3395 N BRIGHTON BLVD,C-MX-8,293.0,1757.5132770404555,C-MX-8,293,0.0
3300 BLAKE ST,C-MX-8,567.0,1579.026700305584,C-MX-8,567,0.0
3101 N HURON ST,C-MX-12,1192.0,2591.379145613154,C-MX-12,1192,0.0
1901 CHESTNUT PL,PUD,42.0,1212.268928996788,G-RX-5x,63,21.0
2024 MARKET ST,B-8,254.0,2102.4083132438504,B-8,254,0.0
2053 MARKET ST,PUD,36.0,2367.598851649951,PUD,36,0.0
1903 WAZEE ST APPRX,I-MX-8,693.0,1741.6279757939478,I-MX-8,693,0.0
3300 N KALAMATH ST,I-B,47.0,2480.3810236403006,I-B,47,0.0
2600 W COLFAX AVE,C-MU-30,912.0,1553.0784873838347,C-MU-30,912,0.0
1575 N ALCOTT ST MISC,C-MU-30,672.0,1221.079072790707,C-MU-30,672,0.0
695 WATER ST,C-MU-10,188.0,1917.2840424899491,C-MU-10,188,0.0
1450 5TH ST,CPV-C,193.0,41.96467303592597,C-MX-8x,771,578.0
1441 7TH ST,CPV-C,61.0,907.4134470331859,G-RX-5x,91,30.0
1000 4TH ST,C-MX-16,286.0,341.9416559234216,C-MX-16,286,0.0
2205 N WASHINGTON ST,R-MU-30,639.0,1122.0992525321321,R-MU-30,639,0.0
255 22ND ST,R-MU-30,926.0,1533.4469010322866,R-MU-30,926,0.0
2450 CURTIS ST,U-MX-3,82.0,1244.179884482324,U-MX-3,82,0.0
2211 CALIFORNIA ST,D-AS-12+,225.0,1163.017950389251,D-AS-12+,225,0.0
1425 CHAMPA ST,D-TD,42.0,341.7250547041105,C-MX-8x,167,125.0
1790 N LOGAN ST,C-MX-12,268.0,1759.1100700297252,C-MX-12,268,0.0
1523 N LINCOLN ST,D-C,89.0,2067.7464078745124,D-C,89,0.0
1919 N OGDEN ST,CMP-H,143.0,2478.1429939641407,CMP-H,143,0.0
1050 N AMES ST APPRX,C-MX-8,124.0,644.927338125954,C-MX-8,124,0.0
2045 W COLFAX AVE,C-MX-5,115.0,1432.3294038331621,C-MX-5,115,0.0
1800 W COLFAX AVE,I-B,100.0,772.96031143647,G-RX-5x,150,50.0
1349 N ZUNI ST,I-MX-5,426.0,1796.3227990851283,I-MX-5,426,0.0
1280 N UMATILLA ST,I-MX-5,90.0,1799.7007036889465,I-MX-5,90,0.0
1820 W 13TH AVE,I-MX-5,120.0,1779.905356039718,I-MX-5,120,0.0
2450 W 13TH AVE,I-B,228.0,1925.955374882286,I-B,228,0.0
